,title,tconst
516,Nightmare City,tt0080931
517,Oasis of the Zombies,tt0086486
518,Summer Camp,tt2638662
519,The Crawlers,tt0106620
520,Cold Ground,tt4144350
521,FleshEater,tt0109809
522,Antisocial,tt2772092
523,The Haunting of Margam Castle,tt10648146
524,Deep Space,tt0092863
525,After Death,tt0094620
526,Wacko,tt0083310
527,All I Need,tt2370228
528,Trick or Treats,tt0084825
529,The Killer Eye,tt0177886
530,Prom Night IV: Deliver Us from Evil,tt0105179
531,Midnight,tt0082744
532,The Killing Tree,tt16899216
533,Ax 'Em,tt0349113
534,Nightmare at Noon,tt0100261
535,Psycho Cop,tt0095922
536,The Forest,tt0122070
537,Feeders,tt0183072
538,Spiders II: Breeding Ground,tt0282179
539,Cameron's Closet,tt0097008
540,Memorial Valley Massacre,tt0095611
541,The Maze,tt1675758
542,Sexy Killer: You'll Die for Her,tt1056416
543,The Last House in the Woods,tt0484175
544,Amityville Cop,tt6680576
545,The Campus,tt6772946
546,The Four,tt2204340
547,A League of Their Own,tt0104694
548,The Sandlot,tt0108037
549,Major League,tt0097815
550,Moneyball,tt1210166
551,42,tt0453562
552,Angels in the Outfield,tt0109127
553,Field of Dreams,tt0097351
554,You Gotta Believe,tt15685360
555,The Bad News Bears,tt0074174
556,Trouble with the Curve,tt2083383
557,Rookie of the Year,tt0107985
558,Bull Durham,tt0094812
559,The Natural,tt0087781
560,Hardball,tt0180734
561,BASEketball,tt0131857
562,The Rookie,tt0265662
563,For Love of the Game,tt0126916
564,Fever Pitch,tt0332047
565,Eight Men Out,tt0095082
566,Little Big League,tt0110363
567,Major League II,tt0110442
568,The Final Season,tt0449018
569,Bad News Bears,tt0408524
570,Major League: Back to the Minors,tt0120742
571,Million Dollar Arm,tt1647668
572,The Babe,tt0103747
573,Cobb,tt0109450
574,The Bad News Bears in Breaking Training,tt0075718
575,The Scout,tt0111094
576,Ed,tt0116165
577,Sugar,tt0990413
578,The Bingo Long Traveling All-Stars & Motor Kings,tt0074207
579,Mr. 3000,tt0339412
580,Amazing Grace and Chuck,tt0092545
581,Undrafted,tt3172126
582,Talent for the Game,tt0103036
583,Chasing 3000,tt0483586
584,Hoosiers,tt0091217
585,The Basketball Diaries,tt0112461
586,Air,tt16419074
587,Champions,tt15339570
588,Space Jam,tt0117705
589,Hustle,tt8009428
590,Coach Carter,tt0393162
591,Uncle Drew,tt7334528
592,Love & Basketball,tt0199725
593,White Men Can't Jump,tt0105812
594,Space Jam: A New Legacy,tt3554046
595,He Got Game,tt0124718
596,Glory Road,tt0385726
597,Air Bud,tt0118570
598,Like Mike,tt0308506
599,White Men Can't Jump,tt6436620
600,Semi-Pro,tt0839980
601,The Sixth Man,tt0120142
602,The First Slam Dunk,tt15242330
603,The Way Back,tt8544498
604,Above the Rim,tt0109035
605,One on One,tt0076500
606,Sweetwater,tt2365971
607,Rez Ball,tt15181360
608,Blue Chips,tt0109305
609,Hoop Dreams,tt0110057
610,Just Wright,tt1407061
611,Overcomer,tt8186318
612,Thunderstruck,tt2041488
613,Lady Ballers,tt30216176
