from_tconst,from_title,from_year,from_runtimeMinutes,from_averageRating,from_numVotes,from_budget,from_revenue
tt0081353,Popeye,1980.0,114,5.4,36059,20000000,49823037
tt0081375,Private Benjamin,1980.0,109,6.2,29668,15000000,69800000
tt0081383,Prom Night,1980.0,92,5.3,22357,1500000,14796236
tt0081398,Raging Bull,1980.0,129,8.1,393275,18000000,23380203
tt0081439,Rough Cut,1980.0,112,5.7,1609,14000000,16656125
tt0081455,Scanners,1981.0,103,6.7,64328,4100000,14225876
tt0081505,The Shining,1980.0,146,8.4,1158697,19000000,44781695
tt0081529,Smokey and the Bandit II,1980.0,100,5.3,18240,17000000,66100000
tt0081554,Stardust Memories,1980.0,89,7.2,24473,10000000,10389003
tt0081562,Stir Crazy,1980.0,111,6.7,31416,10000000,101300000
tt0081573,Superman II,1980.0,127,6.8,118395,54000000,190458706
tt0081633,Time Bandits,1981.0,110,6.9,71427,5000000,42365581
tt0081696,Urban Cowboy,1980.0,132,6.5,17567,10000000,53300000
tt0081698,Used Cars,1980.0,113,6.7,17601,8000000,11715321
tt0081777,Xanadu,1980.0,96,5.4,16045,20000000,22762571
tt0081974,Absence of Malice,1981.0,116,6.9,15820,12000000,40716963
tt0082010,An American Werewolf in London,1981.0,97,7.5,127639,10000000,31973249
tt0082031,Arthur,1981.0,97,6.9,32185,7000000,95461682
tt0082085,Blow Out,1981.0,108,7.4,68870,18000000,12000000
tt0082089,Body Heat,1981.0,113,7.4,41737,9000000,24058838
tt0082111,Buddy Buddy,1981.0,96,6.5,5339,10000000,7258543
tt0082136,The Cannonball Run,1981.0,95,6.2,41653,18000000,72179579
tt0082158,Chariots of Fire,1981.0,125,7.1,68506,5500000,58972904
tt0082186,Clash of the Titans,1981.0,118,6.9,49199,12000000,41092328
tt0082198,Conan the Barbarian,1982.0,129,6.9,167448,20000000,73951475
tt0082247,Death Hunt,1981.0,97,6.9,8667,10000000,5000000
tt0082288,Dragonslayer,1981.0,109,6.6,20744,18000000,14110013
tt0082340,Escape from New York,1981.0,99,7.1,164571,6000000,50244700
tt0082348,Excalibur,1981.0,140,7.3,69741,11000000,35000000
tt0082352,Eyes of a Stranger,1981.0,84,6.0,3372,800000,1118634
tt0082362,The Fan,1981.0,95,5.8,3120,10000000,3100000
tt0082378,Final Exam,1981.0,89,4.6,4882,374000,3000000
tt0082398,For Your Eyes Only,1981.0,127,6.7,111478,28000000,195300000
tt0082418,Friday the 13th Part 2,1981.0,87,6.1,82101,1250000,21722776
tt0082432,Gallipoli,1981.0,110,7.4,43087,3000000,11700000
tt0082474,The Great Muppet Caper,1981.0,97,7.1,17451,14000000,31200000
tt0082495,Halloween II,1981.0,92,6.5,106501,2500000,25533818
tt0082498,Happy Birthday to Me,1981.0,110,6.0,11825,3500000,10600000
tt0082507,Heartbeeps,1981.0,78,4.3,1742,12000000,2154696
tt0082509,Heavy Metal,1981.0,86,6.6,39643,9300000,20118654
tt0082517,History of the World: Part I,1981.0,92,6.8,56662,11000000,31672907
tt0082533,The Howling,1981.0,91,6.5,41856,1000000,17985893
tt0082648,The Legend of the Lone Ranger,1981.0,98,4.9,2637,18000000,2945600
tt0082694,The Road Warrior,1981.0,96,7.6,206737,2000000,24600832
tt0082763,Modern Problems,1981.0,93,5.0,5979,8000000,26154211
tt0082766,Mommie Dearest,1981.0,129,6.6,19155,5000000,19032261
tt0082782,My Bloody Valentine,1981.0,90,6.2,26493,2200000,5672031
tt0082799,Movie Madness,1982.0,89,3.2,1386,15000000,5027193
tt0082869,Outland,1981.0,109,6.6,33513,18000000,17374595
tt0082894,Pennies from Heaven,1981.0,108,6.5,6498,22000000,9171289
tt0082934,The Postman Always Rings Twice,1981.0,122,6.6,26621,12000000,12376625
tt0082971,Raiders of the Lost Ark,1981.0,115,8.4,1068229,18000000,389925971
tt0082979,Reds,1981.0,195,7.3,25509,35000000,40382659
tt0083113,Sphinx,1981.0,118,5.2,1883,14000000,2022771
tt0083131,Stripes,1981.0,106,6.8,82399,10000000,85300000
tt0083169,Taps,1981.0,126,6.8,21012,14000000,35900000
tt0083190,Thief,1981.0,123,7.4,42993,5500000,11494812
tt0083284,Victory,1981.0,116,6.6,34386,10000000,27453418
tt0083296,Visiting Hours,1982.0,103,5.7,5102,6000000,13258670
tt0083511,48 Hrs.,1982.0,96,6.9,88843,12000000,78868508
tt0083530,Airplane II: The Sequel,1982.0,85,6.2,58484,15000000,27150534
tt0083550,Amityville II: The Possession,1982.0,104,5.6,13493,5000000,12534817
tt0083630,The Beastmaster,1982.0,118,6.2,26127,8000000,14056528
tt0083658,Blade Runner,1982.0,117,8.1,849449,28000000,41722424
tt0083678,The Border,1982.0,108,6.4,7321,22000000,6118683
tt0083767,Creepshow,1982.0,120,6.8,55190,8000000,21028755
tt0083791,The Dark Crystal,1982.0,93,7.1,74144,15000000,40600000
tt0083798,Dead Men Don't Wear Plaid,1982.0,88,6.8,24458,9000000,18196170
tt0083806,Deathtrap,1982.0,116,7.0,16621,10000000,19000000
tt0083851,The Draughtsman's Contract,1982.0,108,7.2,11523,370800,2256246
tt0083866,E.T. the Extra-Terrestrial,1982.0,115,7.9,451568,10500000,792965500
tt0083907,The Evil Dead,1981.0,85,7.4,241325,350000,29612367
tt0083908,Evil Under the Sun,1982.0,117,7.0,22202,10000000,6110804
tt0083929,Fast Times at Ridgemont High,1982.0,90,7.1,120133,4500000,27100000
tt0083943,Firefox,1982.0,136,5.9,30202,18000000,70700000
tt0083944,First Blood,1982.0,93,7.7,287454,15000000,125212904
tt0083972,Friday the 13th: Part 3,1982.0,95,5.6,63675,2200000,36690067
tt0083987,Gandhi,1982.0,191,8.0,243378,22000000,77737889
tt0084021,Grease 2,1982.0,115,4.6,39684,13200000,15172313
tt0084088,Honkytonk Man,1982.0,122,6.6,9813,2000000,4400000
tt0084296,The Man from Snowy River,1982.0,102,7.2,10396,3500000,20659423
tt0084434,An Officer and a Gentleman,1982.0,124,7.1,64948,7500000,129795554
tt0084503,Pink Floyd: The Wall,1982.0,95,8.0,87433,12000000,22244207
tt0084516,Poltergeist,1982.0,114,7.3,187219,10700000,122200000
tt0084522,Porky's,1981.0,94,6.2,47138,4000000,159989673
tt0084602,Rocky III,1982.0,99,6.8,218388,17000000,269952898
tt0084649,The Secret of NIMH,1982.0,82,7.5,47276,7000000,14665733
tt0084684,Silent Rage,1982.0,103,5.4,7096,4500000,10500000
tt0084695,The Slumber Party Massacre,1982.0,77,5.6,19551,220000,3600000
tt0084707,Sophie's Choice,1982.0,150,7.5,54750,12000000,30036166
tt0084726,Star Trek II: The Wrath of Khan,1982.0,113,7.7,132171,12000000,96594943
tt0084749,The Sword and the Sorcerer,1982.0,99,5.5,8137,4000000,39103425
tt0084787,The Thing,1982.0,109,8.2,493460,15000000,19629760
tt0084805,Tootsie,1982.0,116,7.4,118120,21000000,177200000
tt0084827,Tron,1982.0,96,6.7,132736,17000000,33000000
tt0084855,The Verdict,1982.0,129,7.7,48030,16000000,53977250
tt0084865,Victor/Victoria,1982.0,134,7.6,24520,15000000,28215453
tt0084887,Battletruck,1982.0,91,5.0,1614,1000000,3000000
tt0084917,The World According to Garp,1982.0,136,7.1,29882,17000000,29712172
tt0084938,Young Doctors in Love,1982.0,96,5.5,3567,7500000,30688860
tt0085121,10 to Midnight,1983.0,101,6.3,9971,4520000,7175592
tt0085159,Amityville 3-D,1983.0,105,4.2,7876,6000000,6333135
tt0085271,Brainstorm,1983.0,106,6.4,13741,18000000,10219460
tt0085333,Christine,1983.0,110,6.8,96831,9700000,21200000
tt0085334,A Christmas Story,1983.0,93,7.9,174835,3300000,20700000
tt0085384,Curse of the Pink Panther,1983.0,109,4.3,6971,11000000,4491986
tt0085542,Fire and Ice,1983.0,81,6.5,13583,1200000,760883
tt0085549,Flashdance,1983.0,95,6.2,61638,7000000,201500000
tt0085551,Get Crazy,1983.0,92,6.6,1570,5500000,1645711
tt0085636,Halloween III: Season of the Witch,1982.0,98,5.2,64103,2500000,14400000
tt0085672,Hercules,1983.0,98,4.1,4621,2500000,10676194
tt0085694,The House on Sorority Row,1982.0,91,5.9,10574,425000,10604986
tt0085701,The Hunger,1983.0,97,6.6,30244,10000000,10200000
tt0085750,Jaws 3-D,1983.0,99,3.7,50123,20500000,87987056
tt0085764,Joysticks,1983.0,88,4.5,2878,300000,3952448
tt0085780,The Keep,1983.0,96,5.7,15420,6000000,3661757
tt0085794,The King of Comedy,1982.0,109,7.8,125242,19000000,2536000
tt0085811,Krull,1983.0,121,6.1,37588,27000000,16916617
tt0085862,Lone Wolf McQuade,1983.0,107,6.3,14734,5000000,12232628
tt0085959,Monty Python's the Meaning of Life,1983.0,107,7.5,127371,9000000,15000000
tt0085995,Vacation,1983.0,98,7.3,123890,15000000,61418063
