title,year,subgenres
Godzilla vs. Destoroyah,1995.0,"['action-epic', 'dinosaur-adventure', 'disaster-action', 'epic-drama', 'giant-monster-sci-fi', 'monster-horror', 'supernatural-horror', 'tragedy-drama']"
The Sword of Doom,1966.0,"['action-epic', 'epic-drama', 'samurai-action']"
Godzilla 1985,1985.0,"['action-epic', 'dinosaur-adventure', 'disaster-action', 'epic-drama', 'epic-sci-fi', 'giant-monster-sci-fi', 'political-drama', 'tragedy-drama']"
Snag,2023.0,['action-epic']
Godzilla: King of the Monsters!,1956.0,"['action-epic', 'dinosaur-adventure', 'disaster-action', 'epic-drama', 'epic-sci-fi', 'giant-monster-sci-fi', 'monster-horror', 'supernatural-horror', 'tragedy-drama']"
SSMB29,,"['action-epic', 'globetrotting-adventure']"
Testing Movie1,2015.0,"['action-epic', 'car-action', 'dark-comedy', 'jungle-adventure', 'survival-adventure', 'suspense-mystery', 'teen-drama', 'tragedy-drama']"
Warrior Awang and Master Tok Gajah,2024.0,"['action-epic', 'epic-adventure', 'epic-drama', 'epic-history', 'martial-arts-action']"
Mojave Diamonds,2023.0,['action-epic']
The Slave,1962.0,"['action-epic', 'desert-adventure', 'epic-adventure', 'epic-drama', 'epic-history', 'epic-war', 'period-drama', 'sword-and-sandal-action']"
The Seven Deadly Sins: Grudge of Edinburgh Part 2,2023.0,"['action-epic', 'epic-adventure', 'epic-fantasy', 'quest-adventure', 'sword-and-sorcery-fantasy']"
Foxtrot Six,2019.0,"['action-epic', 'dystopian-sci-fi', 'epic-drama', 'epic-sci-fi']"
John Paul Jones,1959.0,"['action-epic', 'epic-history', 'tragic-romance']"
Malbatt: Misi Bakara,2023.0,"['action-epic', 'epic-drama', 'epic-history', 'epic-war']"
The Last Guest,2017.0,"['action-epic', 'cg-animation', 'epic-adventure', 'epic-drama', 'epic-sci-fi', 'epic-war', 'tragedy-drama']"
The Roblox Movie,,['action-epic']
Untitled Godzilla Takashi Yamazaki,,"['action-epic', 'epic-drama', 'giant-monster-sci-fi', 'monster-horror']"
Ultimate Spider-Man: Origins,,"['action-epic', 'epic-adventure', 'superhero-action']"
Mat Kilau,2022.0,"['action-epic', 'epic-adventure', 'epic-drama', 'epic-history', 'martial-arts-action']"
"500,000",1963.0,"['action-epic', 'epic-adventure', 'epic-drama']"
The Cape,,"['action-epic', 'sea-adventure']"
The Varmint and the Nymph,,"['action-epic', 'fairy-tale-fantasy']"
Cataclysm Down Under,,['action-epic']
The Bob and Friends Movie!: End the Spiral,,['action-epic']
"The Prince, the Sister, & the Serpent",,"['action-epic', 'dark-fantasy', 'epic-adventure', 'epic-fantasy', 'sea-adventure', 'sword-and-sorcery-fantasy']"
Batman: The Darkest Knights,,['action-epic']
The Uptown Chronicles: Awakenings,,['action-epic']
Angel Denied,,['action-epic']
Mickey 17,2025.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'dark-comedy', 'space-sci-fi']"
Venom: The Last Dance,2024.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'giant-monster-sci-fi', 'road-trip-adventure', 'superhero-action']"
Elevation,2024.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'giant-monster-sci-fi', 'survival-adventure']"
Alien,1979.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'cyberpunk-sci-fi', 'monster-horror', 'space-sci-fi']"
Arrival,2016.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'epic-sci-fi', 'psychological-drama']"
The Thing,1982.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'body-horror', 'monster-horror', 'supernatural-horror', 'tragedy-drama']"
A Quiet Place: Day One,2024.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'monster-horror']"
Starship Troopers,1997.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'dystopian-sci-fi', 'space-sci-fi']"
The Tomorrow War,2021.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'dystopian-sci-fi', 'time-travel-sci-fi']"
Aliens,1986.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'cyberpunk-sci-fi', 'monster-horror', 'space-sci-fi', 'survival-adventure', 'tragedy-drama']"
Men in Black,1997.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'buddy-comedy', 'buddy-cop-comedy', 'high-concept-comedy', 'urban-adventure']"
Edge of Tomorrow,2014.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'dystopian-sci-fi', 'epic-sci-fi', 'time-travel-sci-fi']"
Nope,2022.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'monster-horror', 'supernatural-horror']"
Pixels,2015.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'farce-comedy', 'high-concept-comedy', 'satire-comedy', 'supernatural-fantasy']"
Annihilation,2018.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'body-horror']"
A Quiet Place,2018.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'monster-horror']"
Predator,1987.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'jungle-adventure', 'monster-horror', 'one-person-army-action', 'slasher-horror', 'survival-adventure']"
Man of Steel,2013.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'superhero-action', 'urban-adventure']"
Prey,2022.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'monster-horror']"
They Live,1988.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'conspiracy-thriller']"
Superman II,1980.0,"['alien-invasion-sci-fi-Copy1', 'alien-invasion-sci-fi', 'superhero-action', 'urban-adventure']"
